2025-09-25 12:01:06.029 | INFO     | __main__:extract_character_scenes:33 - Starting extraction for tywin_lannister
2025-09-25 12:01:06.029 | INFO     | __main__:extract_character_scenes:43 - Scraping game of thrones from all sources...
2025-09-25 12:01:06.029 | INFO     | scrapers.script_scrapers:scrape_all_sources:271 - Trying springfield for game of thrones
2025-09-25 12:01:07.016 | DEBUG    | scrapers.base_scraper:_fetch_tls_client:119 - TLS client attempt 1 failed: failed to do request: Get "https://springfieldspringfield.co.uk/episode_scripts.php?tv-show=game-of-thrones": read tcp 10.108.81.212:50962->185.66.91.211:443: read: connection reset by peer
2025-09-25 12:01:07.427 | DEBUG    | scrapers.base_scraper:_fetch_tls_client:119 - TLS client attempt 2 failed: failed to do request: Get "https://springfieldspringfield.co.uk/episode_scripts.php?tv-show=game-of-thrones": read tcp 10.108.81.212:50965->185.66.91.211:443: read: connection reset by peer
2025-09-25 12:01:07.836 | DEBUG    | scrapers.base_scraper:_fetch_tls_client:119 - TLS client attempt 3 failed: failed to do request: Get "https://springfieldspringfield.co.uk/episode_scripts.php?tv-show=game-of-thrones": read tcp 10.108.81.212:50967->185.66.91.211:443: read: connection reset by peer
2025-09-25 12:01:08.195 | DEBUG    | scrapers.base_scraper:_fetch_tls_client:119 - TLS client attempt 4 failed: failed to do request: Get "https://springfieldspringfield.co.uk/episode_scripts.php?tv-show=game-of-thrones": read tcp 10.108.81.212:50969->185.66.91.211:443: read: connection reset by peer
2025-09-25 12:01:08.500 | DEBUG    | scrapers.base_scraper:_fetch_tls_client:119 - TLS client attempt 5 failed: failed to do request: Get "https://springfieldspringfield.co.uk/episode_scripts.php?tv-show=game-of-thrones": read tcp 10.108.81.212:50970->185.66.91.211:443: read: connection reset by peer
2025-09-25 12:01:09.012 | ERROR    | utils.captcha_solver:bypass_cloudflare:194 - Cloudflare bypass failed: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-09-25 12:01:09.082 | ERROR    | utils.captcha_solver:_use_flaresolverr:226 - FlareSolverr bypass failed: All connection attempts failed
2025-09-25 12:01:10.585 | ERROR    | scrapers.script_scrapers:scrape_all_sources:286 - Error with springfield: RetryError[<Future at 0x107bdb830 state=finished raised TypeError>]
2025-09-25 12:01:10.585 | INFO     | scrapers.script_scrapers:scrape_all_sources:271 - Trying 8flix for game of thrones
2025-09-25 12:01:11.010 | DEBUG    | scrapers.base_scraper:_fetch_tls_client:119 - TLS client attempt 1 failed: failed to do request: Get "https://8flix.com/search?q=game+of+thrones": read tcp 10.108.81.212:50979->172.67.69.244:443: read: connection reset by peer
2025-09-25 12:01:11.163 | DEBUG    | scrapers.base_scraper:_fetch_tls_client:119 - TLS client attempt 2 failed: failed to do request: Get "https://8flix.com/search?q=game+of+thrones": read tcp 10.108.81.212:50980->172.67.69.244:443: read: connection reset by peer
2025-09-25 12:01:11.265 | DEBUG    | scrapers.base_scraper:_fetch_tls_client:119 - TLS client attempt 3 failed: failed to do request: Get "https://8flix.com/search?q=game+of+thrones": read tcp 10.108.81.212:50981->172.67.69.244:443: read: connection reset by peer
2025-09-25 12:01:11.368 | DEBUG    | scrapers.base_scraper:_fetch_tls_client:119 - TLS client attempt 4 failed: failed to do request: Get "https://8flix.com/search?q=game+of+thrones": read tcp 10.108.81.212:50982->172.67.69.244:443: read: connection reset by peer
